epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.73,1.83521,2.52311,1.03798,0.2601,0.17038,0.12425,0.06611,1.65306,1.53732,0.99692,0.000237412,0.000237412,0.000237412
2,207.634,1.682,1.55235,0.99342,0.2167,0.19361,0.16006,0.08943,1.61869,1.41715,0.96639,0.000465999,0.000465999,0.000465999
3,284.909,1.6448,1.43947,0.98543,0.27998,0.22981,0.19823,0.10963,1.6052,1.32449,0.96785,0.000685161,0.000685161,0.000685161
4,362.943,1.61617,1.37206,0.97706,0.29528,0.23034,0.21482,0.12123,1.54131,1.26114,0.9515,0.000671588,0.000671588,0.000671588
5,440.646,1.5848,1.31275,0.97045,0.29536,0.24704,0.2224,0.12273,1.5274,1.23968,0.94968,0.000657451,0.000657451,0.000657451
6,518.52,1.57142,1.27584,0.96522,0.33698,0.24862,0.22946,0.12894,1.51694,1.22024,0.94722,0.000643314,0.000643314,0.000643314
7,596.774,1.54787,1.24106,0.96087,0.33917,0.26221,0.23896,0.13404,1.51352,1.19627,0.95048,0.000629177,0.000629177,0.000629177
8,675.451,1.53912,1.22309,0.95658,0.35942,0.26227,0.24138,0.13946,1.47526,1.17234,0.94294,0.00061504,0.00061504,0.00061504
9,755.881,1.53358,1.20435,0.95321,0.34673,0.27071,0.25456,0.14219,1.4781,1.1498,0.9419,0.000600902,0.000600902,0.000600902
10,838.759,1.51641,1.18656,0.95056,0.32211,0.27037,0.24139,0.13563,1.48035,1.1694,0.93751,0.000586765,0.000586765,0.000586765
11,917.387,1.51185,1.17843,0.94898,0.35667,0.28088,0.25689,0.14474,1.47611,1.14582,0.93765,0.000572628,0.000572628,0.000572628
12,996.23,1.5028,1.16549,0.94693,0.37137,0.27495,0.26298,0.14913,1.46007,1.13196,0.93255,0.000558491,0.000558491,0.000558491
13,1075.29,1.49398,1.15239,0.94499,0.33893,0.26802,0.24773,0.13953,1.46337,1.15997,0.9382,0.000544354,0.000544354,0.000544354
14,1156.56,1.48469,1.1411,0.94405,0.35395,0.28749,0.2675,0.15346,1.44134,1.11165,0.92963,0.000530216,0.000530216,0.000530216
15,1235.33,1.48546,1.13335,0.94115,0.36275,0.28932,0.26887,0.1534,1.43326,1.11107,0.92692,0.000516079,0.000516079,0.000516079
16,1370.28,1.47205,1.12031,0.94043,0.36837,0.2939,0.27399,0.15464,1.44314,1.09888,0.93177,0.000501942,0.000501942,0.000501942
17,1450.52,1.46881,1.11722,0.9378,0.36821,0.28888,0.27333,0.15572,1.43162,1.08842,0.93089,0.000487805,0.000487805,0.000487805
18,1532.96,1.46149,1.10586,0.9376,0.38147,0.29106,0.27973,0.16064,1.42064,1.07899,0.92383,0.000473668,0.000473668,0.000473668
19,1611.7,1.45817,1.10373,0.93606,0.36802,0.3018,0.27668,0.15805,1.41931,1.08775,0.92346,0.00045953,0.00045953,0.00045953
20,1690.63,1.4506,1.09141,0.93432,0.37227,0.30037,0.27947,0.16068,1.41802,1.08445,0.92308,0.000445393,0.000445393,0.000445393
21,1769.65,1.44735,1.08369,0.93371,0.3793,0.29569,0.28345,0.16354,1.41652,1.07763,0.92972,0.000431256,0.000431256,0.000431256
22,1847.76,1.43909,1.07807,0.93175,0.36662,0.30489,0.28408,0.16259,1.42081,1.07241,0.9208,0.000417119,0.000417119,0.000417119
23,1926.85,1.43525,1.07034,0.92844,0.38571,0.29979,0.29168,0.16784,1.40252,1.06176,0.92249,0.000402982,0.000402982,0.000402982
24,2019.57,1.44071,1.07046,0.92885,0.39624,0.29927,0.29251,0.16786,1.40193,1.05281,0.92089,0.000388844,0.000388844,0.000388844
25,2097.97,1.42483,1.05736,0.92813,0.39571,0.30596,0.29358,0.16886,1.40217,1.05637,0.92039,0.000374707,0.000374707,0.000374707
26,2176.28,1.4281,1.05716,0.92821,0.39081,0.30397,0.29427,0.16939,1.39805,1.05285,0.92034,0.00036057,0.00036057,0.00036057
27,2255.11,1.42314,1.05352,0.92632,0.389,0.30502,0.29351,0.16936,1.396,1.05171,0.91921,0.000346433,0.000346433,0.000346433
28,2333.92,1.41579,1.04742,0.92479,0.3922,0.30397,0.29668,0.17125,1.38999,1.04495,0.91857,0.000332296,0.000332296,0.000332296
29,2421.27,1.41956,1.04142,0.92391,0.39458,0.31089,0.29808,0.17226,1.38933,1.04512,0.91696,0.000318158,0.000318158,0.000318158
30,2508.43,1.40196,1.03234,0.92224,0.40004,0.3132,0.30264,0.1749,1.37808,1.0323,0.91437,0.000304021,0.000304021,0.000304021
31,2591.52,1.40569,1.03182,0.92352,0.40405,0.31251,0.30304,0.17516,1.38326,1.02656,0.91526,0.000289884,0.000289884,0.000289884
32,2670.15,1.40724,1.02829,0.92139,0.39731,0.31662,0.30522,0.17622,1.38632,1.0323,0.91573,0.000275747,0.000275747,0.000275747
33,2749.62,1.40249,1.02039,0.91848,0.4019,0.3116,0.30377,0.17483,1.38385,1.02362,0.91635,0.00026161,0.00026161,0.00026161
34,2829.39,1.40366,1.01995,0.91868,0.40015,0.321,0.3085,0.17812,1.37534,1.01923,0.91503,0.000247472,0.000247472,0.000247472
35,2948.86,1.39033,1.00901,0.91588,0.40781,0.30642,0.30503,0.17763,1.38462,1.02492,0.91368,0.000233335,0.000233335,0.000233335
